Song_ID,Song_name,Artist_ID,Release_date,Genre,Price
S0001,All Time Low,A0001,5/13/2016,Hip Hop,2.5
S0002,TT,A0003,10/24/2016,Kpop,3
S0003,L.I.F.E.G.O.E.S.O.N,A0005,1/21/2011,Indie Rock,2.99
S0004,Guillotine,A0001,6/10/2016,Hip Hop,1.99
S0005,DNA,A0007,9/18/2017,Kpop,3
S0006,BOOMBAYAH,A0004,8/8/2016,Kpop,2.8
S0007,5 Years Time,A0005,10/22/2007,Indie Rock,1.5
S0008,Dope,A0007,4/29/2015,Kpop,2.5
S0009,Sober Up,A0002,6/9/2017,Indie Pop,1.4
S0010,Blood Sweat & Tears,A0007,10/10/2016,Kpop,4
S0011,Castle,A0006,4/9/2016,Synth Pop,2
S0012,LIKEY,A0003,10/30/2017,Kpop,3.2
S0013,As if it's your last,A0004,6/22/2017,Kpop,2.6
S0014,Candy Pop,A0003,2/7/2018,Kpop,1.7
S0015,Overture,A0002,6/9/2017,Indie Pop,1.9
S0016,Save Me,A0007,5/2/2016,Kpop,2.9
S0017,Sorry,A0006,2/2/2018,Synth Pop,2
S0018,KNOCK KNOCK,A0003,2/20/2017,Kpop,3.1
S0019,Overwhelming,A0001,6/10/2016,Hip Hop,3
S0020,Colors,A0006,2/9/2016,Synth Pop,2.4
S0021,2 Atoms in a molecule,A0005,8/11/2008,Indie Rock,3.25
S0022,Maybe IDK,A0001,6/10/2016,Hip Hop,2.8
S0023,WHISTLE,A0004,8/8/2016,Kpop,2.1
S0024,Weak,A0002,10/20/2016,Indie Pop,2.5
S0025,Give it all back,A0005,3/4/2011,Indie Rock,3.1
